varname,printname,mpi-mainz-uvviz,long-name,
O(1D),O(^1D),O(1D),Excited Oxygen (singlet),
O(3P),O(^3P),,Excited Oxygen (triplet),
O3,O_3,O3,Ozone,
N,N,,,
NO,NO,NO,Nitric Oxide,
NO2,NO_2,NO2,Nitrogen Dioxide,
NO3,NO_3,NO3,Nitrate,
N2O5,N_2O_5,N2O5,Dinitrogen Pentoxide,
HONO,HONO,HONO,Nitrous Acid,
HONO2,HNO_3,HONO2,Nitric Acid,
HO2NO2,HO_2NO_2,HO2NO2,Peroxynitric Acid,
Cl,Cl,,,
Cl2,Cl_2,Cl2,Chlorine,
ClO,ClO,ClO,Chlorine Monoxide,
ClOO,ClOO,ClOO,Chlorine Superoxide,
OClO,OClO,OClO,Chlorine Dioxide,
Cl2O2,Cl_2O_2,ClOOCl,Dichlorine Dioxide,
ClNO2,ClNO_2,ClNO2,Nitryl Chloride,
ClONO2,ClONO_2,ClONO2,Chlorine Nitrate,
HCl,HCl,HCl,Hydrogen Chloride,
HOCl,HOCl,HOCl,Hypochlorous Acid,
MeOCl,CH_3OCl,CH3OCl,Methyl Hypochlorite,
Br,Br,,,
Br2,Br_2,Br2,Bromine,
BrO,BrO,BrO,Bromine Monoxide,
BrONO2,BrONO_2,BrONO2,Bromine Nitrate,
BrONO,BrONO,BrONO,Bromine Nitrite,
HBr,HBr,HBr,Hydrogen Bromide,
HOBr,HOBr,HOBr,Hypobromous Acid,
BrCl,BrCl,BrCl,Bromine Monochloride,
H2,H_2,H2,Hydrogen,
H,H,,,
OH,OH,,,
HO2,HO_2,HO2,Hydroperoxy Radical,
H2O2,H_2O_2,H2O2,Hydrogen Peroxide,
CH3,CH_3,CH3,Methyl Radical,
MeO,CH_3O,,,
MeOO,CH_3O_2,CH3O2,Methylperoxy Radical,
MeOH,CH_3OH,CH3OH,Methanol,
MeOOH,CH_3OOH,CH3OOH,Methylhydroperoxide,
MeONO2,CH_3ONO_2,CH3ONO2,Methyl Nitrate,
MeO2NO2,CH_3O_2NO_2,CH3O2NO2,Methylperoxynitrate,
HCO,HCO,HCO,Formyl Radical,
HCHO,HCHO,CH2O,Formaldehyde,
CH4,CH_4,CH4,Methane,
CH3Br,CH_3Br,CH3Br,Bromomethane,
CF2Cl2,CF_2Cl_2,CF2Cl2(CFC-12),Difluorodichloromethane (CFC-12),
CO,CO,CO,Carbon Monoxide,
N2O,N_2O,N2O,Nitrous Oxide,
CO2,CO_2,CO2,Carbon Dioxide,
H2O,H_2O,H2O,Water,
RN10O2,RN_{10}O_2,,,
Me2O,CH_3OCH_3,CH3OCH3,Dimethyl Ether,
C2H6,C_2H_6,C2H6,Ethane,
EtOO,C_2H_5O_2,C2H5O2,Ethylperoxy Radical,
C3H8,C_3H_8,C3H8,Propane,
IC3H7O2,iC_3H_7O_2,"i-C3H7O2,(CH3)2CHO2",2-propylperoxy radical,
NC4H10,nC_4H_{10},n-C4H10,n-butane,
RN13O2,RN_{13}O_2,,,
NC5H12,nC_5H_{12},n-C5H12,n-pentane,
RN16O2,RN_{16}O_2,,,
NC6H14,nC_6H_{14},n-C6H14,n-hexane,
RN19O2,RN_{19}O_2,,,
NC7H16,nC_7H_{16},n-C7H16,n-heptane,
RN22O2,RN_{22}O_2,,,
NC8H18,nC_8H_{18},n-C8H18,n-octane,
RN25O2,RN_{25}O_2,,,
NC9H20,nC_9H_{20},n-C9H20,n-nonane,
RN28O2,RN_{28}O_2,,,
NC10H22,nC_{10}H_{22},,,
RN31O2,RN_{31}O_2,,,
NC11H24,nC_{11}H_{24},,,
RN34O2,RN_{34}O_2,,,
NC12H26,nC_{12}H_{26},,,
RN37O2,RN_{37}O_2,,,
IC4H10,iC_4H_{10},"i-C4H10,(CH3)2CHCH3",Isobutane,
RI13O2,RI_{13}O_2,,,
IC5H12,iC_5H_{12},"i-C5H12,(CH3)2CHCH2CH3",Isopentane,
RI16O2,RI_{16}O_2,,,
NEOP,neopentane,"neo-C5H12,(CH3)3CCH3",Neopentane,
M2PE,2-methylpentane,"i-C6H14,CH3CH(CH3)(CH2)2CH3",Isohexane,
M3PE,3-methylpentane,C2H5CH(CH3)C2H5,3-methylpentane,
M22C4,"2,2-dimethylbutane","neo-C6H14,(CH3)3CCH2CH3Neo-hexane",Neohexane,
M23C4,"2,3-dimethylbutane",(CH3)2CHCH(CH3)2,"2,3-dimethylbutane",
M2HEX,2-methylhexane,,,
M3HEX,3-methylhexane,,,
CHEX,cyclohexane,c-C6H12,Cyclohexane,
C2H4,C_2H_4,CH2=CH2,Ethene,
HOCH2CH2OO,HOCH_2CH_2O_2,CH2(OH)CH2O2,2-hydroxyethylperoxy radical,
C3H6,C_3H_6,CH2=CHCH3,Propene,
RN9O2,RN_9O_2,,,
BUT1ENE,but1ene,,,
RN12O2,RN_{12}O_2,,,
PENT1ENE,pent1ene,,,
RN15O2,RN_{15}O_2,,,
HEX1ENE,Hex1ene,,,
RN18O2,RN_{18}O_2,,,
CBUT2ENE,c-but2ene,,,
TBUT2ENE,t-but2ene,,,
CPENT2ENE,c-pent2ene,,,
TPENT2ENE,t-pent2ene,,,
CHEX2ENE,c-hex2ene,,,
THEX2ENE,t-hex2ene,,,
MEPROPENE,methylpropene,,,
RI12O2,RI_{12}O_2,,,
ME2BUT1ENE,2-methylbut1ene,,,
ME3BUT1ENE,3-methylbut1ene,,,
RI15O2,RI_{15}O_2,,,
ME2BUT2ENE,2-methylbut2ene,,,
NRN6O2,NRN_6O_2,,,
NRN9O2,NRN_9O_2,,,
NRN12O2,NRN_{12}O_2,,,
NRN15O2,NRN_{15}O_2,,,
NRN18O2,NRN_{18}O_2,,,
NRI12O2,NRI_{12}O_2,,,
NRI15O2,NRI_{15}O_2,,,
MeCHO,CH_3CHO,CH3CHO,Acetaldehyde,
EtCHO,C_2H_5CHO,C2H5CHO,Propanal,
MeCO2H,CH_3CO_2H,CH3C(O)OH,Acetic Acid,
Me2CO,CH_3COCH_3,CH3C(O)CH3,Acetone,
CARB11,CARB11,,,
CARB14,CARB14,,,
C4H6,C_4H_6,,1-butyne ? 2-butyne ?,
RN11O2,RN_{11}O_2,,,
C5H8,C_5H_8,,1-pentyne ? 2-pentyne ? Cyclopentene,
RN14O2,RN_{14}O_2,,,
NRN11O2,NRN_{11}O_2,,,
NRN14O2,NRN_{14}O_2,,,
RT28O2,RT_{28}O_2,,,
NRT28O2,NRT_{28}O_2,,,
CARB17,CARB17,,,
BENZENE,benzene,C6H6,Benzene,
TOLUENE,toluene,(CH3)C6H5,Toluene,
OXYL,o-xylene,o-(CH3)2C6H4,O-xylene,
RN21O2,RN_{21}O_2,,,
MXYL,m-xylene,m-(CH3)2C6H4,m-xylene,
PXYL,p-xylene,p-(CH3)2C6H4,p-xylene,
EBENZ,ethylbenzene,(C2H5)C6H5,Ethylbenzene,
PBENZ,n-propylbenzene,,,
RN24O2,RN_{24}O_2,,,
IPBENZ,i-propylbenzene,,,
RI24O2,RI_{24}O_2,,,
TM123B,"1,2,3-trimethylbenzene",,,
TM124B,"1,2,4-trimethylbenzene",,,
TM135B,"1,3,5-trimethylbenzene",,,
OETHTOL,o-ethyltoluene,,,
METHTOL,m-ethyltoluene,,,
PETHTOL,p-ethyltoluene,,,
DIME35EB,"3,5dimethylethylbenzene",,,
RN27O2,RN_{27}O_2,,,
DIET35TOL,"3,5-diethyltoluene",,,
RN30O2,RN_{30}O_2,,,
RE2O2,RE_2O_2,,,
C2H2,C_2H_2,C2H2,Acetylene,
C3H7CHO,C_3H_7CHO,,?isobutyraldehyde ? N-butyraldehyde,
IPRCHO,i-butanal,"i-C3H7CHO,(CH3)2CHCHO",isobutyraldehyde,
C4H9CHO,C_4H_9CHO,,? i/n/t-pentanal ? ,
MeCO3,CH_3CO_3,,,
CH2OO,HCOOH,HC(O)OH,Formic Acid,
RN8O2,RN_8O_2,,,
MEK,2-butanone,CH3C(O)C2H5,Methyl Ethyl Ketone,
MPRK,2-pentanone,CH3C(O)C3H7,2-Pentanone,
DIEK,diethylketone,C2H5C(O)C2H5,Diethyl Ketone,
MIPK,3-methylbutanone,CH3C(O)CH(CH3)2,Methyl Isopropyl Ketone,
HEX2ONE,hex2one,CH3C(O)C4H9,2-hexanone,
HEX3ONE,hex3one,C2H5C(O)C3H7,3-hexanone,
MIBK,4-methylpentan2one,CH3C(O)CH2CH(CH3)2,Methyl Isobutyl Ketone,
MTBK,"3,3-dimethylbutan2one",,,
CYHEXONE,cyclohexanone,c-C6H10O,Cyclohexanone,
RN17O2,RN_{17}O_2,,,
EtOH,C_2H_5OH,C2H5OH,Ethanol,
NPROPOL,n-propanol,n-C3H7OH,n-Propyl Alcohol,
IPROPOL,i-propanol,"i-C3H7OH,(CH3)2CHOH",Isopropyl Alcohol,
NBUTOL,n-butanol,n-C4H9OH,n-Butanol,
BUT2OL,butan2ol,CH3CH(OH)CH2CH3,2-Butanol,
IBUTOL,i-butanol,,,
TBUTOL,t-butanol,,,
PECOH,pentan3ol,,,
IPEAOH,2-methylbutan1ol,,,
ME3BUOL,3-methylbutan1ol,,,
IPECOH,2-methylbutan2ol,,,
IPEBOH,3-methylbutan2ol,,,
CYHEXOL,cyclohexanol,C6H11OH,Cyclohexanol,
MIBKAOH,diacetone-alcohol,(CH3)2C(OH)CH2C(O)CH3,Diacetone Alcohol,
ETHGLY,ethane-diol,,,
PROPGLY,"1,2-propane-diol",,,
CH3OCHO,CH_3OCHO,HC(O)OCH3,Methyl Formate,
DIETETHER,diethylether,C2H5OC2H5,Diethyl Ether,
RE5O2,RE_5O_2,,,
FM1,FM1,,,
MTBE,methyl-t-butylether,,,
FM2,FM2,,,
DIIPRETHER,di-isopropylether,,,
ETBE,ethyl-tbutylether,,,
MO2EOL,2-methoxyethanol,,,
EOX2EOL,2-ethoxyethanol,,,
PR2OHMOX,2-methoxypropanol,,,
BUOX2ETOH,2-butoxyethanol,,,
BOX2PROL,2-butoxypropanol,,,
METHACET,methylacetate,,,
ETHACET,ethylacetate,CH3C(O)OC2H5,Ethyl Acetate,
NPROACET,n-propylacetate,,,
IPROACET,i-propylacetate,,,
NBUTACET,n-butylacetate,,,
SBUTACET,2-butylacetate,,,
TBUACET,t-butylacetate,,,
PROPACID,propanoic acid,C2H5C(O)OH,Propanoic acid,
DMM,dimethoxymethane,CH2(OCH3)2,Dimethoxymethane,
DMC,dimethoxycarbonate,,,
CH3Cl,CH_3Cl,CH3Cl,Chloromethane,
CH2Cl2,CH_2Cl_2,CH2Cl2,Dichloromethane,
CHCl3,CHCl_3,CHCl3,Trichloromethane,
CH3CCl3,CH_3CCl_3,CH3CCl3,"1,1,1-trichloroethane",
TCE,C_2Cl_4,CCl2=CCl2,Tetrachloroethene,
TRIClETH,C_2HCl_3,CHCl=CCl2,Trichloroethene,
CDIClETH,c-C_2H_2Cl_2,,,
TDIClETH,t-C_2H_2Cl_2,,,
EtONO2,C_2H_5NO_3,,,
RN10NO3,RN_{10}NO_3,,,
IC3H7NO3,iC_3H_7NO_3,"i-C3H7ONO2,(CH3)2CHONO2",Isopropyl Nitrate,
RN13NO3,RN_{13}NO_3,,,
RN16NO3,RN_{16}NO_3,,,
RN19NO3,RN_{19}NO_3,,,
RN22NO3,RN_{22}NO_3,,,
RN25NO3,RN_{25}NO_3,,,
RN28NO3,RN_{28}NO_3,,,
RN31NO3,RN_{31}NO_3,,,
RN34NO3,RN_{34}NO_3,,,
RN37NO3,RN_{37}NO_3,,,
RI13NO3,RI_{13}NO_3,,,
RI16NO3,RI_{16}NO_3,,,
HOC2H4NO3,HOC_2H_4NO_3,,,
RN9NO3,RN_9NO_3,,,
RN12NO3,RN_{12}NO_3,,,
RN15NO3,RN_{15}NO_3,,,
RN18NO3,RN_{18}NO_3,,,
RN21NO3,RN_{21}NO_3,,,
RN24NO3,RN_{24}NO_3,,,
RN27NO3,RN_{27}NO_3,,,
RN30NO3,RN_{30}NO_3,,,
RI12NO3,RI_{12}NO_3,,,
RI15NO3,RI_{15}NO_3,,,
RI24NO3,RI_{24}NO_3,,,
RE2NO3,RE_2NO_3,,,
RE5NO3,RE_5NO_3,,,
RT28NO3,RT_{28}NO_3,,,
RN10OOH,RN_{10}OOH,,,
IC3H7OOH,iC_3H_7OOH,,,
RN13OOH,RN_{13}OOH,,,
RN16OOH,RN_{16}OOH,,,
RN19OOH,RN_{19}OOH,,,
RN22OOH,RN_{22}OOH,,,
RN25OOH,RN_{25}OOH,,,
RN28OOH,RN_{28}OOH,,,
RN31OOH,RN_{31}OOH,,,
RN34OOH,RN_{34}OOH,,,
RN37OOH,RN_{37}OOH,,,
RI13OOH,RI_{13}OOH,,,
RI16OOH,RI_{16}OOH,,,
MeCO3H,CH_3CO_3H,,,
RN8OOH,RN_8OOH,,,
RN11OOH,RN_{11}OOH,,,
RN14OOH,RN_{14}OOH,,,
RN17OOH,RN_{17}OOH,,,
HOC2H4OOH,HOC_2H_4OOH,,,
RN9OOH,RN_9OOH,,,
RN12OOH,RN_{12}OOH,,,
RN15OOH,RN_{15}OOH,,,
RN18OOH,RN_{18}OOH,,,
RN21OOH,RN_{21}OOH,,,
RN24OOH,RN_{24}OOH,,,
RN27OOH,RN_{27}OOH,,,
RN30OOH,RN_{30}OOH,,,
RI12OOH,RI_{12}OOH,,,
RI15OOH,RI_{15}OOH,,,
RI24OOH,RI_{24}OOH,,,
RE2OOH,RE_2OOH,,,
RE5OOH,RE_5OOH,,,
RT28OOH,RT_{28}OOH,,,
NRN6OOH,NRN_6OOH,,,
NRN9OOH,NRN_9OOH,,,
NRN12OOH,NRN_{12}OOH,,,
NRN15OOH,NRN_{15}OOH,,,
NRN18OOH,NRN_{18}OOH,,,
NRI12OOH,NRI_{12}OOH,,,
NRI15OOH,NRI_{15}OOH,,,
NRN11OOH,NRN_{11}OOH,,,
NRN14OOH,NRN_{14}OOH,,,
NRT28OOH,NRT_{28}OOH,,,
PAN,PAN,,,
APINENE,aPinene,,,
BPINENE,bPinene,,,
NA,NA,,,
SO2,SO2,,,
SO3,SO3,,,
HSO3,HSO3,,,
SA,SA,,,
RN10O2,RN10O2,,,
